"","agency_cd","site_no","station_nm","site_tp_cd","lat_va","long_va","coord_acy_cd","coord_datum_cd","dec_lat_va","dec_long_va","coord_acy_cd_1","dec_coord_datum_cd","state_cd","alt_va","alt_acy_va","alt_datum_cd","drain_area_va","peak_begin_date","peak_end_date","peak_count_nu"
"1","USGS",2339495,"OSELIGEE CREEK NEAR LANETT AL","ST",325405,851147,"S","NAD27",32.9015159,-85.1963308,"S","NAD83",1,NA,NA,NA,86.4,"11/16/2006","12/28/2018",13
"2","USGS",2342500,"UCHEE CREEK NEAR FORT MITCHELL, AL.","ST",321900,850054,"S","NAD27",32.31681467,-85.014931,"S","NAD83",1,201.76,0.01,"NGVD29",322,"4/3/1947","4/20/2019",73
"3","USGS",23432415,"CHATTAHOOCHEE R .36 MI DS WFG DAM NR FT GAINES, GA","ST",313717,850336,"S","NAD83",31.62138889,-85.06,"S","NAD83",1,0,0.1,"NGVD29",7460,"12/15/2009","12/30/2018",10
"4","USGS",2361000,"CHOCTAWHATCHEE RIVER NEAR NEWTON, AL.","ST",312034,853638,"U","NAD27",31.3429492,-85.6104912,"U","NAD83",1,138.56,0.01,"NGVD29",686,"6/2/1922","12/2/2018",92
"5","USGS",2361500,"CHOCTAWHATCHEE RIVER NEAR BELLWOOD AL","ST",310933,854704,"S","NAD27",31.15934229,-85.7843789,"S","NAD83",1,NA,NA,NA,1280,"1/19/1925","12/3/2018",20
"6","USGS",2362000,"CHOCTAWHATCHEE RIVER NEAR GENEVA, ALABAMA","ST",310228,855108,"S","NAD27",31.0412902,-85.8521574,"S","NAD83",1,62.8,0.1,"NGVD29",1346,"12/24/1971","12/4/2018",38
"7","USGS",2362240,"LITTLE DOUBLE BRIDGES CREEK NR ENTERPRISE, AL.","ST",311620,855730,"U","NAD27",31.27239318,-85.9582737,"U","NAD83",1,195,0.01,"NGVD29",21.4,"3/13/1986","10/10/2018",33
"8","USGS",2363000,"PEA RIVER NEAR ARITON AL","ST",313541,854659,"U","NAD27",31.59488716,-85.7829975,"U","NAD83",1,246.72,0.01,"NGVD29",498,"1929-03","12/31/2018",82
"9","USGS",2364000,"PEA RIVER AT ELBA, AL.","ST",312448,860347,"U","NAD27",31.4134998,-86.0630019,"U","NAD83",1,159.24,0.01,"NGVD29",959,"1929-03","12/29/2018",75
"10","USGS",2364050,"BEAVERDAM CREEK AT STATE HWY 203 AT ELBA, AL","ST",312520,860507,"S","NAD27",31.42238837,-86.085225,"S","NAD83",1,NA,NA,NA,28.4,"3/8/1990","3/8/1990",1
"11","USGS",2364500,"PEA RIVER NEAR SAMSON AL","ST",310645,860558,"U","NAD27",31.11267588,-86.0993868,"U","NAD83",1,97.95,0.01,"NGVD29",1182,"2/16/1905","12/30/2018",66
"12","USGS",2369800,"BLACKWATER RIVER NEAR BRADLEY AL","ST",310139,864236,"S","NAD27",31.02767985,-86.7099567,"S","NAD83",1,121.87,0.1,"NGVD29",87.7,"12/11/1967","12/29/2018",52
"13","USGS",2371500,"CONECUH RIVER AT BRANTLEY AL","ST",313424,861506,"S","NAD27",31.57349458,-86.2516226,"S","NAD83",1,226.2,0.01,"NGVD29",500,"1929","12/30/2018",83
"14","USGS",2372250,"PATSALIGA CREEK NEAR BRANTLEY AL","ST",313546,862420,"U","NAD27",31.59627177,-86.40551809,"U","NAD83",1,220,0.01,"NGVD29",442,"2/19/1975","12/30/2018",45
"15","USGS",2372422,"CONECUH RIVER BEL PT A DAM NR RIVER FALLS, AL.","ST",312140,863111,"S","NAD27",31.3612799,-86.5196826,"S","NAD83",1,120.8,0.01,"NGVD29",1273,"7/2/1999","1/1/2019",21
"16","USGS",2372430,"CONECUH RIVER AT RIVER FALLS, ALABAMA","ST",312053,863146,"S","NAD27",31.34822474,-86.5294047,"S","NAD83",1,120.8,0.1,"NGVD29",1277,"3/6/1972","1/1/2019",38
"17","USGS",2373000,"SEPULGA RIVER NEAR MCKENZIE AL","ST",312713,864713,"S","NAD27",31.4537758,-86.7869139,"S","NAD83",1,155.96,0.1,"NGVD29",470,"1929-03","12/30/2018",79
"18","USGS",2374050,"FOLLEY CREEK NEAR DIXIE, AL","ST",310740.01,864747.33,"1","NAD83",31.12778056,-86.7964806,"1","NAD83",1,98,1.6,"NAVD88",NA,"1/2/2017","4/23/2019",3
"19","USGS",2374250,"CONECUH RIVER AT STATE HWY 41 NEAR BREWTON, AL.","ST",310401,870342,"S","NAD27",31.06712374,-87.0616352,"S","NAD83",1,43.1,0.1,"NGVD29",2661,"1929-03","1/4/2019",48
"20","USGS",2374500,"MURDER CREEK NEAR EVERGREEN AL","ST",312506,865912,"U","NAD27",31.41850006,-86.9866403,"U","NAD83",1,178.29,0.01,"NGVD29",176,"1929-03","12/30/2018",83
"21","USGS",2374700,"MURDER CREEK AT STATE HWY 41 AT BREWTON, AL.","ST",310603,870408,"U","NAD27",31.10101137,-87.06885829,"U","NAD83",1,NA,NA,NA,435,"7/8/1916","12/30/2018",23
"22","USGS",2374745,"BURNT CORN CREEK AT STATE HWY 41 NEAR BREWTON, AL.","ST",310747,870514,"U","NAD27",31.1298991,-87.0871928,"U","NAD83",1,NA,NA,NA,182,"9/30/1998","4/15/2019",22
"23","USGS",2374950,"BIG ESCAMBIA CR AT SARDINE BR NR STANLEY CROSSROAD","ST",310746,872214,"S","NAD27",31.12962115,-87.3705353,"S","NAD83",1,NA,NA,NA,193,"3/5/2001","1/5/2019",19
"24","USGS",2375000,"BIG ESCAMBIA CREEK AT FLOMATON AL","ST",310038,871546,"U","NAD27",31.01073709,-87.2627518,"U","NAD83",1,47.76,0.01,"NAVD88",330,"9/27/1939","4/14/2019",42
"25","USGS",2377560,"STYX R NR LOXLEY, AT SMITHS SIDING, ALA","ST",303813,873626,"U","NAD27",30.63713636,-87.6072077,"U","NAD83",1,NA,NA,NA,151,"6/12/2012","7/14/2019",8
"26","USGS",2377570,"STYX RIVER NEAR ELSANOR, AL.","ST",303620,873250,"U","NAD27",30.6057484,-87.5472057,"U","NAD83",1,NA,NA,NA,192,"9/17/1988","7/14/2019",32
"27","USGS",2377750,"STYX RIVER AT SEMINOLE, ALA","ST",303105,872746,"S","NAD27",30.51825089,-87.4627577,"S","NAD83",1,NA,NA,NA,260,"7/12/2013","6/22/2017",5
"28","USGS",2378170,"WOLF CREEK BELOW FOLEY, ALA","ST",302317,873910,"U","NAD27",30.3882541,-87.652763,"U","NAD83",1,NA,NA,NA,4.98,"3/28/2009","1/2/2017",9
"29","USGS",237819950,"STORM-TIDE GAGE ON BON SECOUR R NEAR BON SECOUR","ST-TS",301816.28,874341.29,"H","NAD83",30.3045222,-87.7281361,"H","NAD83",1,NA,NA,NA,NA,"--","--",0
"30","USGS",2378300,"MAGNOLIA RIVER AT US 98 NEAR FOLEY, ALABAMA","ST",302423,874413,"S","NAD27",30.40658669,-87.7369323,"S","NAD83",1,NA,NA,NA,16.6,"3/30/2000","12/14/2018",20
"31","USGS",2378500,"FISH RIVER NEAR SILVER HILL AL","ST",303243,874755,"S","NAD27",30.54547146,-87.79860149,"S","NAD83",1,20,0.1,"NGVD29",55.3,"12/6/1953","10/23/2017",49
"32","USGS",237854520,"FISH RIVER NEAR MARLOW, AL","ST",302828.81,874809.52,"1","NAD83",30.47466944,-87.8026444,"1","NAD83",1,3,4.3,"NAVD88",120.6,"--","--",0
"33","USGS",2378780,"D'OLIVE CREEK NEAR BRIDGEHEAD, AL","ST",303907.45,875322.73,"1","NAD83",30.65206944,-87.8896472,"1","NAD83",1,NA,NA,NA,NA,"--","--",0
"34","USGS",2378790,"TIAWASEE CREEK NEAR BRIDGEHEAD, AL","ST",303834.03,875330.45,"R","NAD83",30.6427861,-87.8917917,"R","NAD83",1,26,1.6,"NAVD88",NA,"--","--",0
"35","USGS",2397530,"COOSA RIVER AT STATE LINE, AL/GA","ST",341206,852651,"S","NAD27",34.20176124,-85.447458,"S","NAD83",1,549.5,0.1,"NAVD88",4362,"4/9/2014","2/23/2019",6
"36","USGS",2398300,"CHATTOOGA RIVER ABOVE GAYLESVILLE AL","ST",341725,853033,"U","NAD27",34.29036965,-85.5091268,"U","NAD83",1,562.11,0.01,"NGVD29",366,"4/9/1938","2/23/2019",80
"37","USGS",2399200,"LITTLE RIVER NEAR BLUE POND AL","ST",341720,854050,"U","NAD27",34.2889813,-85.6805204,"U","NAD83",1,589.34,0.01,"NGVD29",199,"3/15/1929","2/22/2019",64
"38","USGS",2399500,"COOSA RIVER AT LEESBURG AL","ST",341036,854514,"U","NAD27",34.1767623,-85.7538552,"U","NAD83",1,517.77,0.01,"NGVD29",5270,"1886-04","6/7/2017",95
"39","USGS",2400100,"TERRAPIN CREEK AT ELLISVILLE AL","ST",340354,853651,"U","NAD27",34.06509836,-85.6141287,"U","NAD83",1,539.07,0.01,"NGVD29",252,"11/28/1949","2/22/2019",58
"40","USGS",2400175,"COOSA RIVER AT ADAMS FERRY BR NR BALLPLAY, AL","ST",340512,854724,"S","NAD27",34.08676436,-85.789967,"S","NAD83",1,NA,NA,NA,5605,"--","--",0
"41","USGS",2400350,"COOSA RIVER AT HOKES BLUFF, AL","ST",340224.5,855200.51,"1","NAD83",34.04013889,-85.8668083,"1","NAD83",1,508,4.3,"NAVD88",5726,"--","--",0
"42","USGS",2400496,"COOSA RIVER AT GADSDEN STEAM PLANT NR GADSDEN, AL","ST",340050,855813,"U","NAD27",34.01398655,-85.9702488,"U","NAD83",1,485.97,0.01,"NGVD29",5800,"10/4/1994","3/4/2019",25
"43","USGS",2400500,"COOSA RIVER AT GADSDEN AL","ST",340037,855952,"U","NAD27",34.0103752,-85.9977494,"U","NAD83",1,485.97,0.01,"NGVD29",5805,"1886-04-06","2/24/2016",127
"44","USGS",2400680,"BIG WILLS CREEK AT STATE HWY 35 NR FORT PAYNE, AL","ST",342617,854602,"S","NAD27",34.43814386,-85.7671907,"S","NAD83",1,NA,NA,NA,55.4,"5/6/2003","12/28/2018",17
"45","USGS",2401000,"BIG WILLS CREEK NEAR REECE CITY","ST",340553,860217,"U","NAD27",34.0981515,-86.0380286,"U","NAD83",1,570,0.01,"NGVD29",182,"1884","2/23/2019",69
"46","USGS",2401330,"COOSA RIVER NR SOUTHSIDE, ALA","ST",335635,860134,"U","NAD27",33.9431535,-86.02608309,"U","NAD83",1,NA,NA,NA,NA,"--","--",0
"47","USGS",2401390,"BIG CANOE CREEK AT ASHVILLE AL","ST",335023,861546,"S","NAD27",33.8398211,-86.2627559,"S","NAD83",1,529.56,0.1,"NGVD29",141,"3/4/1966","12/29/2018",54
"48","USGS",2401895,"OHATCHEE CREEK AT OHATCHEE, AL","ST",334649,855954,"S","NAD27",33.7803769,-85.9983035,"S","NAD83",1,NA,NA,NA,216.4,"1/5/2015","4/6/2017",3
"49","USGS",2403310,"CHOCCOLOCCO CREEK NEAR BOILING SPRING, ALABAMA","ST",333607,854707,"S","NAD27",33.60204998,-85.7852411,"S","NAD83",1,NA,NA,NA,191,"5/7/2003","2/22/2019",17
"50","USGS",2404400,"CHOCCOLOCCO CREEK AT JACKSON SHOAL NR LINCOLN AL","ST",333254,860549,"U","NAD27",33.5484383,-86.0969163,"U","NAD83",1,448.5,0.01,"NGVD29",481,"1886","2/22/2019",58
"51","USGS",2405500,"KELLY CREEK NEAR VINCENT AL","ST",332651,862313,"S","NAD27",33.44760728,-86.386924,"S","NAD83",1,404.09,0.01,"NGVD29",193,"12/21/1951","6/24/2017",50
"52","USGS",2406500,"TALLADEGA CREEK AT ALPINE AL","ST",332134,861403,"U","NAD27",33.35955497,-86.2341414,"U","NAD83",1,431.34,0.01,"NGVD29",150,"2/28/1939","2/21/2019",65
"53","USGS",2406930,"SHIRTEE CREEK NEAR ODENA, ALABAMA","ST",331242,861624,"S","NAD27",33.21178164,-86.273308,"S","NAD83",1,NA,NA,NA,16.5,"3/9/2011","1/23/2019",9
"54","USGS",2407000,"COOSA RIVER AT CHILDERSBURG AL","ST",331730,862150,"U","NAD27",33.29177917,-86.36386659,"U","NAD83",1,382.45,0.01,"NGVD29",8392,"7/11/1916","2/25/2019",104
"55","USGS",2407514,"YELLOWLEAF CREEK NEAR WESTOVER, AL","ST",331914,862943,"S","NAD27",33.32066689,-86.4952592,"S","NAD83",1,NA,NA,NA,142,"3/21/2006","2/11/2018",13
"56","USGS",2407526,"COOSA RIVER AT GASTON STEAM PLANT NR WILSONVILLE","ST",331428,862730,"U","NAD27",33.24122519,-86.4583132,"U","NAD83",1,382.41,0.01,"NGVD29",8588,"4/16/1994","3/1/2019",25
"57","USGS",2408150,"WALNUT CREEK ABOVE CLANTON, ALA","ST",325325,863445,"S","NAD83",32.89027778,-86.5791667,"S","NAD83",1,NA,NA,NA,35.7,"1/4/2015","1/23/2019",5
"58","USGS",2408540,"HATCHET CREEK BELOW ROCKFORD AL","ST",325500,861613,"U","NAD27",32.9167896,-86.2702507,"U","NAD83",1,377,5,"NGVD29",263,"4/13/1979","1/24/2019",40
"59","USGS",2411590,"COOSA RIVER AT HWY 14 NEAR WETUMPKA, AL","ST",323301.97,861144.86,"1","NAD83",32.5505472,-86.1957944,"1","NAD83",1,128,4.3,"NAVD88",NA,"--","--",0
"60","USGS",2411600,"COOSA RIVER AT WETUMPKA AL","ST",323213,861232,"U","NAD27",32.53707835,-86.208857,"U","NAD83",1,113.45,0.01,"NGVD29",10148,"1/11/1972","12/30/2018",47
"61","USGS",2412000,"TALLAPOOSA RIVER NEAR HEFLIN, AL","ST",333722,853048,"U","NAD27",33.622885,-85.5132894,"U","NAD83",1,830,0.01,"NGVD29",448,"1/10/1953","11/14/2018",67
"62","USGS",2413300,"LITTLE TALLAPOOSA RIVER NEAR NEWELL AL","ST",332614,852357,"U","NAD27",33.43733498,-85.399118,"U","NAD83",1,842.92,0.01,"NGVD29",406,"3/16/1976","1/23/2019",44
"63","USGS",2414300,"TALLAPOOSA RIVER AT MALONE, ALABAMA","ST",331149,853438,"S","NAD27",33.19706256,-85.5771772,"S","NAD83",1,NA,NA,NA,1620,"--","--",0
"64","USGS",2414500,"TALLAPOOSA RIVER AT WADLEY AL","ST",330700,853339,"U","NAD27",33.11678684,-85.5607875,"U","NAD83",1,599.87,0.01,"NGVD29",1675,"4/18/1924","1/24/2019",95
"65","USGS",2414715,"TALLAPOOSA RIVER NR NEW SITE, AL.(HORSESHOE BEND)","ST",325838,854423,"U","NAD27",32.97734526,-85.7396808,"U","NAD83",1,528.62,0.01,"NGVD29",2058,"3/14/1986","4/19/2019",34
